web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1579704372-441","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","The Strongest - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/the-strongest-always-ready-nyXbERyn/","null","null","null","null","null","Final result 3:2 (2:2, 1:0)","25 Dec  2019","20:00"
"1579704266-216","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Destroyers - Guabira","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/destroyers-guabira-bwLFm1C0/","null","null","null","null","null","Final result 0:0 (0:0, 0:0)","15 Dec  2019","19:00"
"1579704248-175","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-wilstermann-8lrs8VcF/","Coolbet","5.75","4.30","1.44","90.8%","Final result 0:2 (0:0, 0:2)","13 Dec  2019","00:30"
"1579704436-558","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Destroyers - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/destroyers-the-strongest-buEK93jH/","Unibet","5.75","5.00","1.35","-","Final result 2:3 (0:1, 2:2)","28 Dec  2019","20:00"
"1579704279-249","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Royal Pari - Sport Boys","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/royal-pari-sport-boys-6qrs4Mds/","Pinnacle","2.18","3.57","3.13","94.5%","Final result 0:1 (0:0, 0:1)","15 Dec  2019","21:15"
"1579704366-428","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Guabira","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-guabira-p8Mk6UqP/","William Hill","1.38","4.75","6.50","91.8%","Final result 1:1 (0:1, 1:0)","22 Dec  2019","23:30"
"1579704235-153","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Guabira - Sport Boys","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/guabira-sport-boys-bJ0jo8j2/","Pinnacle","2.59","3.43","2.63","94.5%","Final result 0:0 (0:0, 0:0)","13 Dec  2019","00:00"
"1579704290-274","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Guabira - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/guabira-royal-pari-4U0p3tCm/","Unibet","2.33","3.35","2.60","-","Final result 1:1 (1:1, 0:0)","18 Dec  2019","19:00"
"1579704430-546","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Real Potosi - Sport Boys","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/real-potosi-sport-boys-65HS7sLT/","Unibet","1.70","3.85","3.65","-","null","28 Dec  2019","20:00"
"1579704290-267","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Guabira - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/guabira-royal-pari-4U0p3tCm/","bet-at-home","2.29","3.20","2.63","88.5%","Final result 1:1 (1:1, 0:0)","18 Dec  2019","19:00"
