web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1574823802-14250","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/#/page/5/","Nacional Potosi - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/nacional-potosi-universitario-de-sucre-f7cRICij/","bwin","1.80","3.25","3.95","89.6%","Final result 2:1","01 Mar  2009","19:30"
"1574831178-16929","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/#/page/5/","U. Sucre - Real Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/universitario-de-sucre-real-potosi-Eyq4i3Dc/","bwin","2.29","3.10","2.80","89.6%","Final result 1:1 (1:0, 0:1)","11 Sep  2011","19:30"
"1574835737-22451","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/4/","U. Pando - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/universitario-de-pando-the-strongest-l8LKz74C/","William Hill","4.00","3.40","1.80","90.9%","Final result 1:3 (1:2, 0:1)","23 Nov  2014","19:30"
"1574835543-21840","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/5/","Sport Boys - Petrolero de Yacuiba","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/sport-boys-petrolero-de-yacuiba-fXEvnz8k/","William Hill","1.53","4.20","5.00","91.6%","Final result 1:2 (0:1, 1:1)","28 Sep  2014","19:00"
"1574835874-22853","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/3/","The Strongest - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/the-strongest-blooming-n3Rj3Ob0/","1xBet","1.27","6.30","10.50","96.0%","Final result 1:1 (1:1, 0:0)","29 Jan  2015","00:00"
"1574832596-17023","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/#/page/4/","La Paz - Real Mamore","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/la-paz-real-mamore-ILVcgGl2/","null","null","null","null","null","Final result 3:1 (2:0, 1:1)","19 Oct  2011","19:25"
"1574838964-26071","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/2/","Sport Boys - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/sport-boys-san-jose-OvR5cHPq/","William Hill","1.70","3.50","4.50","91.2%","Final result 2:2 (2:1, 0:1)","21 Apr  2016","19:00"
"1574833191-17114","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/#/page/4/","Guabira - Real Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/guabira-real-potosi-Sroy3CZN/","Unibet","2.15","3.30","2.85","89.4%","Final result 3:2 (1:2, 2:0)","25 Nov  2011","00:00"
"1574835624-22112","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/4/","Bolivar - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/bolivar-nacional-potosi-O6onM7kJ/","Marathonbet","1.23","6.90","12.00","96.0%","Final result 3:3 (1:2, 2:1)","25 Oct  2014","23:30"
"1574829384-16045","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/results/#/page/2/","Blooming - Aurora","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/blooming-aurora-fav5qi2C/","bet-at-home","1.40","3.70","6.80","-","Final result 0:1 (0:0, 0:1)","19 Sep  2010","22:00"
"1574828797-15282","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/results/#/page/6/","Guabira - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/guabira-universitario-de-sucre-4SnQGkdi/","bwin","2.15","3.40","2.75","89.1%","Final result 2:0 (1:0, 1:0)","21 Mar  2010","20:00"
"1574835884-22891","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/3/","Oriente Petrolero - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/oriente-petrolero-universitario-de-sucre-63Y20MrJ/","null","null","null","null","null","Final result 2:2 (1:0, 1:2)","30 Jan  2015","00:30"
"1574835498-21709","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/5/","Wilstermann - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/wilstermann-the-strongest-tKkGviPb/","1xBet","2.30","3.65","3.04","96.4%","Final result 1:1 (0:1, 1:0)","15 Sep  2014","20:00"
"1574833683-17726","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/","La Paz - Destroyers","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/la-paz-destroyers-IN3kL4W6/","null","null","null","null","null","Final result 6:1 (2:1, 4:0)","20 May  2012","19:30"
"1574836261-23489","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/2/","Bolivar - U. Pando","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/bolivar-universitario-de-pando-8dfZsilO/","18bet","1.05","10.00","14.00","89.0%","Final result 4:0 (0:0, 4:0)","05 Apr  2015","20:00"
"1574829045-15619","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/results/#/page/4/","Real Mamore - La Paz","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/real-mamore-la-paz-nP3ZJlBC/","Unibet","2.25","3.25","2.80","90.1%","Final result 2:1 (1:0, 1:1)","23 May  2010","20:00"
